price,bedrooms,bathrooms,latitude,longitude,property_type,tenure,listing_update_reason,summary,url
200000,4,1.0,51.525905,-3.139705,Semi-Detached,FREEHOLD,price_reduced,"A well-proportioned semi-detached family home, in need of modernisation, just a short drive to local amenities, supermarkets and a short drive to Cardiff Gate Retail Park and access to the A48/M4 motorway. Entrance hall, cloakroom, 21ft lounge with full height window, kitchen, 4 bedr...",https://www.rightmove.co.uk/properties/163806200#/?channel=RES_BUY
235000,3,2.0,51.555905,-3.02875,End of Terrace,FREEHOLD,new,"Charming 3 bed EoT house, ideal for families. Spacious living area, modern kitchen, lovely garden. Master suite with ensuite, parking included. Book a viewing today!",https://www.rightmove.co.uk/properties/164194292#/?channel=RES_BUY
375000,3,1.0,51.58564,-3.05734,Detached,FREEHOLD,new,"Beautifully presented detached home in a quiet cul-de-sac, close to schools and transport. Features include a spacious living room, open-plan kitchen with orangery, three bedrooms, en-suite, landscaped garden, garage, and driveway. Ideal for modern family living with seamless indoor-outdoor flow.",https://www.rightmove.co.uk/properties/164193668#/?channel=RES_BUY
270000,3,1.0,51.51837,-3.091809,End of Terrace,FREEHOLD,new,"Welcome to 18 Lloyd Place, a stunning example of modern living, tucked away in a highly sought-after and peaceful cul-de-sac.",https://www.rightmove.co.uk/properties/164193203#/?channel=RES_BUY
260000,3,2.0,51.526943,-3.100044,Terraced,FREEHOLD,new,"Welcome to 106 Willowbrook Gardens, a wonderful three-bedroom home set over 3 floors and spanning over 1,000 sq.ft.",https://www.rightmove.co.uk/properties/164193044#/?channel=RES_BUY
315000,2,1.0,51.499564,-3.172282,Apartment,,new,"A beautifully presented two double bedroom ground floor flat conveniently positioned on this sought after, tree lined road overlooking Roath recreational ground & in close proximity to a variety of amenities & University Hospital of Wales. This stylish, Grade II listed building comprises ...",https://www.rightmove.co.uk/properties/164191250#/?channel=RES_BUY
235000,2,1.0,51.434299,-3.194339,Semi-Detached,FREEHOLD,new,"A 1950s two bedroom semi-detached house, in a popular location for young families and offering excellent potential, close to schools and parks. Sold with no onward chain, the property comprises an entrance hall, living room, kitchen and conservatory on the ground floor along with two double bedro...",https://www.rightmove.co.uk/properties/164189981#/?channel=RES_BUY
215000,4,,51.56507,-3.3219,Terraced,FREEHOLD,new,"Three Estate Agents Talbot Green are delighted to present this spacious four-bedroom terraced property, ideally located in the heart of Church Village. This well-proportioned home offers generous living space, making it an ideal purchase for families or investors. ",https://www.rightmove.co.uk/properties/164189957#/?channel=RES_BUY
260000,2,,51.53385,-3.14712,End of Terrace,FREEHOLD,new,"Tathams are delighted to bring to market this charming two-bedroom end-of-terrace home, ideally located in Evenwood Close, Pontprennau.",https://www.rightmove.co.uk/properties/164187332#/?channel=RES_BUY
300000,4,1.0,51.499075,-3.177186,Terraced,FREEHOLD,new,"This is a fantastic investment opportunity situated in one of Cardiff's most popular rental areas. Currently let at £1,960 per calendar month, this four-bedroom HMO offers strong returns with excellent potential for future growth. ",https://www.rightmove.co.uk/properties/164188169#/?channel=RES_BUY
