price,bedrooms,bathrooms,address,property_type,url
260000,3,1.0,"St Christophers Drive, Caerphilly",Terraced,https://www.rightmove.co.uk/properties/163395296#/?channel=RES_BUY
235000,3,2.0,"Edmundsbury Road, Duffryn, NP10",End of Terrace,https://www.rightmove.co.uk/properties/164194292#/?channel=RES_BUY
375000,3,1.0,"Obama Grove, Rogerstone, Newport",Detached,https://www.rightmove.co.uk/properties/164193668#/?channel=RES_BUY
270000,3,1.0,"Lloyd Place, St. Mellons, CF3",End of Terrace,https://www.rightmove.co.uk/properties/164193203#/?channel=RES_BUY
260000,3,2.0,"Willowbrook Gardens, St. Mellons, CF3",Terraced,https://www.rightmove.co.uk/properties/164193044#/?channel=RES_BUY
315000,2,1.0,"Ninian Road, Roath Park, Cardiff",Apartment,https://www.rightmove.co.uk/properties/164191250#/?channel=RES_BUY
235000,2,1.0,"St. Davids Crescent, Penarth",Semi-Detached,https://www.rightmove.co.uk/properties/164189981#/?channel=RES_BUY
215000,4,,"The Parade, Church Village, Pontypridd CF38 1BU",Terraced,https://www.rightmove.co.uk/properties/164189957#/?channel=RES_BUY
260000,2,,"Evenwood Close, Pontprennau, Cardiff",End of Terrace,https://www.rightmove.co.uk/properties/164187332#/?channel=RES_BUY
300000,4,1.0,"Tewkesbury Street, Cathays",Terraced,https://www.rightmove.co.uk/properties/164188169#/?channel=RES_BUY
280000,3,2.0,"Druids Close, Caerphilly, CF83",Semi-Detached,https://www.rightmove.co.uk/properties/164187482#/?channel=RES_BUY
395000,5,3.0,"Dynea Road, Hawthorn",Semi-Detached,https://www.rightmove.co.uk/properties/164185373#/?channel=RES_BUY
275000,2,2.0,"Stryd Elai, The Mill, Canton, Cardiff",End of Terrace,https://www.rightmove.co.uk/properties/164185241#/?channel=RES_BUY
320000,2,1.0,"Ethel Street, Cardiff",End of Terrace,https://www.rightmove.co.uk/properties/164185178#/?channel=RES_BUY
265000,3,1.0,"Ael-y-Bryn, Llanedeyrn, Cardiff",Terraced,https://www.rightmove.co.uk/properties/164184404#/?channel=RES_BUY
395000,3,1.0,"Clodien Avenue, Heath, Cardiff, CF14",Terraced,https://www.rightmove.co.uk/properties/164184077#/?channel=RES_BUY
280000,2,1.0,"Victoria Road, Whitchurch, Cardiff",Terraced,https://www.rightmove.co.uk/properties/164155226#/?channel=RES_BUY
425000,3,,"Ton-yr-ywen Avenue, Heath, Cardiff",Semi-Detached,https://www.rightmove.co.uk/properties/164157839#/?channel=RES_BUY
210000,3,1.0,"Dan Yr Allt Close, Rhydyfelin, Pontypridd",Semi-Detached,https://www.rightmove.co.uk/properties/164182166#/?channel=RES_BUY
450000,3,1.0,"Kimberley Road, Penylan, Cardiff",Terraced,https://www.rightmove.co.uk/properties/164181161#/?channel=RES_BUY
275000,1,1.0,"Cathedral Road, Pontcanna, Cardiff",Apartment,https://www.rightmove.co.uk/properties/155593790#/?channel=RES_BUY
260000,3,1.0,"Manor Street, Heath, Cardiff. CF14",Terraced,https://www.rightmove.co.uk/properties/86962188#/?channel=RES_BUY
475000,4,3.0,"Newmill Gardens, Pontyclun, CF72",Detached,https://www.rightmove.co.uk/properties/163430396#/?channel=RES_BUY
225000,3,1.0,"St. Marys Avenue, Barry",Terraced,https://www.rightmove.co.uk/properties/164178542#/?channel=RES_BUY
